Unnamed: 0,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
37,Mülheim-Kärlich  –,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1986.0,1986.0,,1988,50.40777778,7.489722222,,
38,Neckarwestheim  2,Nuclear,Steam Turbine,PP,DE,1310.0,,,0,0,0,1989.0,1989.0,,2024,49.04111111,9.175,,
39,Niederaichbach  –,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1973.0,1973.0,,1974,48.60462778,12.30398611,,
40,Obrigheim  –,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1968.0,1968.0,,2005,49.36453611,9.076272222,,
41,Philippsburg  1,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1979.0,1979.0,,2011,49.25272222,8.436436111,,
42,Philippsburg  2,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1984.0,1984.0,,2019,49.25272222,8.436436111,,
43,Rheinsberg  –,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1966.0,1966.0,,1990,53.14699167,12.99015,,
44,Stade  –,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1972.0,1972.0,,2003,53.62,9.530833333,,
45,Unterweser  –,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1978.0,1978.0,,2011,53.4277,8.480197222,,
46,Würgassen  –,Nuclear,Steam Turbine,PP,DE,135.0,,,0,0,0,1971.0,1971.0,,1994,51.63916667,9.391388889,,
47,Unterweser  –,Nuclear,Steam Turbine,PP,DE,1345.0,,,0,0,0,1978.0,1978.0,,2011,53.4277,8.480197222,,
48,Würgassen  –,Nuclear,Steam Turbine,PP,DE,640.0,,,0,0,0,1971.0,1971.0,,1994,51.63916667,9.391388889,,
49,Loviisa 1,Nuclear,Steam Turbine,PP,FI,507.0,,,0,0,0,1977.0,1977.0,,2027,60.37222222,26.34722222,,
50,Loviisa 2,Nuclear,Steam Turbine,PP,FI,507.0,,,0,0,0,1981.0,1981.0,,2030,60.37222222,26.34722222,,
51,Olkiluoto 1,Nuclear,Steam Turbine,PP,FI,880.0,,,0,0,0,1979.0,1979.0,,2039,61.23666667,21.44222222,,
52,Olkiluoto 2,Nuclear,Steam Turbine,PP,FI,890.0,,,0,0,0,1982.0,1982.0,,2042,61.23666667,21.44222222,,
53,Olkiluoto 3,Nuclear,Steam Turbine,PP,FI,1600.0,,,0,0,0,2022.0,,,2051,61.23666667,21.44222222,,
54,Belleville 1,Nuclear,Steam Turbine,PP,FR,1310.0,,,0,0,0,1987.0,1987.0,,2047,47.51027778,2875.0,,
55,Belleville 2,Nuclear,Steam Turbine,PP,FR,1310.0,,,0,0,0,1988.0,1988.0,,2048,47.51027778,2875.0,,
56,Blayais 1,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1981.0,1981.0,,2041,47.51027778,2875.0,,
57,Blayais 2,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1982.0,1982.0,,2042,47.51027778,2875.0,,
58,Blayais 3,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1983.0,1983.0,,2043,47.51027778,2875.0,,
59,Blayais 4,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1983.0,1983.0,,2043,47.51027778,2875.0,,
60,Brennilis  –,Nuclear,Steam Turbine,PP,FR,70.0,,,0,0,0,1967.0,1967.0,,1985,47.51027778,2875.0,,
61,Bugey 1,Nuclear,Steam Turbine,PP,FR,540.0,,,0,0,0,1972.0,1972.0,,1994,45.79722222,5.27,,
62,Bugey 2,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1978.0,1978.0,,2038,45.79722222,5.27,,
63,Bugey 3,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1978.0,1978.0,,2038,45.79722222,5.27,,
64,Bugey 4,Nuclear,Steam Turbine,PP,FR,880.0,,,0,0,0,1979.0,1979.0,,2039,45.79722222,5.27,,
65,Bugey 5,Nuclear,Steam Turbine,PP,FR,880.0,,,0,0,0,1979.0,1979.0,,2039,45.79722222,5.27,,
66,Cattenom 1,Nuclear,Steam Turbine,PP,FR,1300.0,,,0,0,0,1986.0,1986.0,,2046,49.41555556,6.216666667,,
67,Cattenom 2,Nuclear,Steam Turbine,PP,FR,1300.0,,,0,0,0,1987.0,1987.0,,2047,49.41555556,6.216666667,,
68,Cattenom 3,Nuclear,Steam Turbine,PP,FR,1300.0,,,0,0,0,1990.0,1990.0,,2050,49.41555556,6.216666667,,
69,Cattenom 4,Nuclear,Steam Turbine,PP,FR,1300.0,,,0,0,0,1991.0,1991.0,,2051,49.41555556,6.216666667,,
70,Chinon A1,Nuclear,Steam Turbine,PP,FR,70.0,,,0,0,0,1963.0,1963.0,,1973,47.23055556,0.170555556,,
71,Chinon A2,Nuclear,Steam Turbine,PP,FR,180.0,,,0,0,0,1965.0,1965.0,,1985,47.23055556,0.170555556,,
72,Chinon A3,Nuclear,Steam Turbine,PP,FR,360.0,,,0,0,0,1966.0,1966.0,,1990,47.23055556,0.170555556,,
73,Chinon B1,Nuclear,Steam Turbine,PP,FR,905.0,,,0,0,0,1982.0,1982.0,,2042,47.23055556,0.170555556,,
74,Chinon B2,Nuclear,Steam Turbine,PP,FR,905.0,,,0,0,0,1983.0,1983.0,,2043,47.23055556,0.170555556,,
75,Chinon B3,Nuclear,Steam Turbine,PP,FR,905.0,,,0,0,0,1986.0,1986.0,,2046,47.23055556,0.170555556,,
76,Chinon B4,Nuclear,Steam Turbine,PP,FR,905.0,,,0,0,0,1987.0,1987.0,,2047,47.23055556,0.170555556,,
77,Chooz  A,Nuclear,Steam Turbine,PP,FR,305.0,,,0,0,0,1967.0,1967.0,,1991,50.09,4.789444444,,
78,Chooz  B1,Nuclear,Steam Turbine,PP,FR,1.5,,,0,0,0,1996.0,1996.0,,2056,50.09,4.789444444,,
79,Chooz  B2,Nuclear,Steam Turbine,PP,FR,1.5,,,0,0,0,1997.0,1997.0,,2057,50.09,4.789444444,,
80,Civaux 1,Nuclear,Steam Turbine,PP,FR,1495.0,,,0,0,0,1997.0,1997.0,,2057,46.45611111,0.654166667,,
81,Civaux 2,Nuclear,Steam Turbine,PP,FR,1495.0,,,0,0,0,1999.0,1999.0,,2059,46.45611111,0.654166667,,
82,Cruas 1,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1983.0,1983.0,,2043,44.63388889,4.753888889,,
83,Cruas 2,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1984.0,1984.0,,2044,44.63388889,4.753888889,,
84,Cruas 3,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1984.0,1984.0,,2044,44.63388889,4.753888889,,
85,Cruas 4,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1984.0,1984.0,,2044,44.63388889,4.753888889,,
86,Dampierre 1,Nuclear,Steam Turbine,PP,FR,890.0,,,0,0,0,1980.0,1980.0,,2040,47.73361111,2.5175,,
87,Dampierre 2,Nuclear,Steam Turbine,PP,FR,890.0,,,0,0,0,1980.0,1980.0,,2040,47.73361111,2.5175,,
88,Dampierre 3,Nuclear,Steam Turbine,PP,FR,890.0,,,0,0,0,1981.0,1981.0,,2041,47.73361111,2.5175,,
89,Dampierre 4,Nuclear,Steam Turbine,PP,FR,890.0,,,0,0,0,1981.0,1981.0,,2041,47.73361111,2.5175,,
90,Fessenheim 1,Nuclear,Steam Turbine,PP,FR,880.0,,,0,0,0,1977.0,1977.0,,2020,47.90361111,7.5625,,
91,Fessenheim 2,Nuclear,Steam Turbine,PP,FR,880.0,,,0,0,0,1977.0,1977.0,,2020,47.90361111,7.5625,,
92,Flamanville 1,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1985.0,1985.0,,2045,47.90361111,7.5625,,
93,Flamanville 2,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1986.0,1986.0,,2046,47.90361111,7.5625,,
94,Flamanville 3,Nuclear,Steam Turbine,PP,FR,1.6,,,0,0,0,2024.0,,,2084,47.90361111,7.5625,,
95,Golfech 1,Nuclear,Steam Turbine,PP,FR,1310.0,,,0,0,0,1990.0,1990.0,,2050,44.11111111,0.840277778,,
96,Golfech 2,Nuclear,Steam Turbine,PP,FR,1310.0,,,0,0,0,1993.0,1993.0,,2053,44.11111111,0.840277778,,
97,Gravelines 1,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1980.0,1980.0,,2040,51.01361111,2.136111111,,
98,Gravelines 2,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1980.0,1980.0,,2040,51.01361111,2.136111111,,
99,Gravelines 3,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1980.0,1980.0,,2040,51.01361111,2.136111111,,
100,Gravelines 4,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1981.0,1981.0,,2041,51.01361111,2.136111111,,
101,Gravelines 5,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1984.0,1984.0,,2044,51.01361111,2.136111111,,
102,Gravelines 6,Nuclear,Steam Turbine,PP,FR,910.0,,,0,0,0,1985.0,1985.0,,2045,51.01361111,2.136111111,,
103,Marcoule G-2,Nuclear,Steam Turbine,PP,FR,38.0,,,0,0,0,1959.0,1959.0,,1980,44.15,4.716666667,,
104,Marcoule G-3,Nuclear,Steam Turbine,PP,FR,0.0,,,0,0,0,1960.0,1960.0,,1984,44.15,4.716666667,,
105,Nogent 1,Nuclear,Steam Turbine,PP,FR,1310.0,,,0,0,0,1987.0,1987.0,,2047,48.51611111,3.517777778,,
106,Nogent 2,Nuclear,Steam Turbine,PP,FR,1310.0,,,0,0,0,1988.0,1988.0,,2048,48.51611111,3.517777778,,
107,Paluel 1,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1984.0,1984.0,,2044,49.85805556,0.635555556,,
108,Paluel 2,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1984.0,1984.0,,2044,49.85805556,0.635555556,,
109,Paluel 3,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1985.0,1985.0,,2045,49.85805556,0.635555556,,
110,Paluel 4,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1986.0,1986.0,,2046,49.85805556,0.635555556,,
111,Penly 1,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1990.0,1990.0,,2050,49.97666667,1.211944444,,
112,Penly 2,Nuclear,Steam Turbine,PP,FR,1330.0,,,0,0,0,1992.0,1992.0,,2052,49.97666667,1.211944444,,
113,Phenix]  –,Nuclear,Steam Turbine,PP,FR,130.0,,,0,0,0,1973.0,1973.0,,2009,44.14333333,4.711666667,,
114,Saint-Alban 1,Nuclear,Steam Turbine,PP,FR,1335.0,,,0,0,0,1985.0,1985.0,,2045,45.40472222,4.755833333,,
115,Saint-Alban 2,Nuclear,Steam Turbine,PP,FR,1335.0,,,0,0,0,1986.0,1986.0,,2046,45.40472222,4.755833333,,
116,Saint-Laurent A1,Nuclear,Steam Turbine,PP,FR,480.0,,,0,0,0,1969.0,1969.0,,1990,47.72055556,1.578611111,,
117,Saint-Laurent A2,Nuclear,Steam Turbine,PP,FR,515.0,,,0,0,0,1971.0,1971.0,,1992,47.72055556,1.578611111,,
118,Saint-Laurent B1,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1981.0,1981.0,,2041,47.72055556,1.578611111,,
119,Saint-Laurent B2,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1981.0,1981.0,,2041,47.72055556,1.578611111,,
120,Creys-Malville –,Nuclear,Steam Turbine,PP,FR,1.2,,,0,0,0,1986.0,1986.0,,1998,45.75833333,5.472222222,,
121,Tricastin 1,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1980.0,1980.0,,2040,44.32972222,4.732222222,,
122,Tricastin 2,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1980.0,1980.0,,2040,44.32972222,4.732222222,,
123,Tricastin 3,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1981.0,1981.0,,2041,44.32972222,4.732222222,,
124,Tricastin 4,Nuclear,Steam Turbine,PP,FR,915.0,,,0,0,0,1981.0,1981.0,,2041,44.32972222,4.732222222,,
125,Caorso 1,Nuclear,Steam Turbine,PP,IE,860.0,,,0,0,0,1981.0,1981.0,,1986,45.07222222,9.872222222,,
126,Enrico Fermi 1,Nuclear,Steam Turbine,PP,IE,260.0,,,0,0,0,1965.0,1965.0,,1987,45.18409374,8.277554512,,
127,Garigliano 1,Nuclear,Steam Turbine,PP,IE,150.0,,,0,0,0,1964.0,1964.0,,1982,41.25833333,13.83472222,,
128,Latina 1,Nuclear,Steam Turbine,PP,IE,153.0,,,0,0,0,1964.0,1964.0,,1986,41.425384,12.807001,,
129,Ignalina 1,Nuclear,Steam Turbine,PP,LT,1185.0,,,0,0,0,1985.0,1985.0,,2004,55.60434185,26.56266689,,
130,Ignalina 2,Nuclear,Steam Turbine,PP,LT,1185.0,,,0,0,0,1987.0,1987.0,,2009,55.60434185,26.56266689,,
131,Borssele 1,Nuclear,Steam Turbine,PP,NL,482.0,,,0,0,0,1973.0,1973.0,,2034,51.43083333,3.718333333,,
132,Dodewaard 1,Nuclear,Steam Turbine,PP,NL,55.0,,,0,0,0,1969.0,1969.0,,1997,51.89956944,5.686327778,,
133,Cernavoda 1,Nuclear,Steam Turbine,PP,RO,650.0,,,0,0,0,1996.0,1996.0,,2051,44.32234722,28.05728056,,
134,Cernavoda 2,Nuclear,Steam Turbine,PP,RO,650.0,,,0,0,0,2007.0,2007.0,,2051,44.32234722,28.05728056,,
135,Agesta 1,Nuclear,Steam Turbine,PP,SE,10.0,,,0,0,0,1964.0,1964.0,,1974,59.20611111,18.0825,,
136,Barseback 1,Nuclear,Steam Turbine,PP,SE,600.0,,,0,0,0,1975.0,1975.0,,1999,55.74444444,12.92083333,,
137,Barseback 2,Nuclear,Steam Turbine,PP,SE,600.0,,,0,0,0,1977.0,1977.0,,2005,55.74444444,12.92083333,,
138,Forsmark 1,Nuclear,Steam Turbine,PP,SE,986.0,,,0,0,0,1980.0,1980.0,,2051,60.40333333,18.16666667,,
139,Forsmark 2,Nuclear,Steam Turbine,PP,SE,1116.0,,,0,0,0,1981.0,1981.0,,2051,60.40333333,18.16666667,,
140,Forsmark 3,Nuclear,Steam Turbine,PP,SE,1159.0,,,0,0,0,1985.0,1985.0,,2051,60.40333333,18.16666667,,
141,Oskarshamn 1,Nuclear,Steam Turbine,PP,SE,473.0,,,0,0,0,1972.0,1972.0,,2017,57.41555556,16.67111111,,
142,Oskarshamn 2,Nuclear,Steam Turbine,PP,SE,638.0,,,0,0,0,1975.0,1975.0,,2016,57.41555556,16.67111111,,
143,Oskarshamn 3,Nuclear,Steam Turbine,PP,SE,1400.0,,,0,0,0,1985.0,1985.0,,2051,57.41555556,16.67111111,,
144,Ringhals 1,Nuclear,Steam Turbine,PP,SE,881.0,,,0,0,0,1976.0,1976.0,,2020,57.26111111,12.10833333,,
145,Ringhals 2,Nuclear,Steam Turbine,PP,SE,907.0,,,0,0,0,1975.0,1975.0,,2019,57.26111111,12.10833333,,
146,Ringhals 3,Nuclear,Steam Turbine,PP,SE,1062.0,,,0,0,0,1981.0,1981.0,,2051,57.26111111,12.10833333,,
147,Ringhals 4,Nuclear,Steam Turbine,PP,SE,1102.0,,,0,0,0,1983.0,1983.0,,2051,57.26111111,12.10833333,,
148,Beznau 1,Nuclear,Steam Turbine,PP,CH,365.0,,,0,0,0,1969.0,1969.0,,2051,47.55222222,8.227777778,,
149,Beznau 2,Nuclear,Steam Turbine,PP,CH,365.0,,,0,0,0,1972.0,1972.0,,2051,47.55222222,8.227777778,,
150,Gosgen 1,Nuclear,Steam Turbine,PP,CH,1010.0,,,0,0,0,1979.0,1979.0,,2051,47.36583333,7.968888889,,
151,Leibstadt 1,Nuclear,Steam Turbine,PP,CH,1220.0,,,0,0,0,1984.0,1984.0,,2051,47.60135,8.18375,,
152,Muehleberg,Nuclear,Steam Turbine,PP,CH,373.0,,,0,0,0,1972.0,1972.0,,2019,46.97083333,7.270277778,,
153,Bohunice A1,Nuclear,Steam Turbine,PP,SK,93.0,,,0,0,0,1972.0,1972.0,,1977,48.49444444,17.68055556,,
154,Bohunice 1,Nuclear,Steam Turbine,PP,SK,408.0,,,0,0,0,1980.0,1980.0,,2006,48.49444444,17.68055556,,
155,Bohunice 2,Nuclear,Steam Turbine,PP,SK,408.0,,,0,0,0,1981.0,1981.0,,2008,48.49444444,17.68055556,,
156,Bohunice 3,Nuclear,Steam Turbine,PP,SK,471.0,,,0,0,0,1985.0,1985.0,,2051,48.49444444,17.68055556,,
157,Bohunice 4,Nuclear,Steam Turbine,PP,SK,471.0,,,0,0,0,1985.0,1985.0,,2051,48.49444444,17.68055556,,
158,Mochovce 1,Nuclear,Steam Turbine,PP,SK,436.0,,,0,0,0,1998.0,1998.0,,2051,48.26388889,18.45694444,,
159,Mochovce 2,Nuclear,Steam Turbine,PP,SK,436.0,,,0,0,0,2000.0,2000.0,,2051,48.26388889,18.45694444,,
160,Mochovce 3,Nuclear,Steam Turbine,PP,SK,440.0,,,0,0,0,2024.0,2024.0,,2051,48.26388889,18.45694444,,
161,Mochovce 4,Nuclear,Steam Turbine,PP,SK,440.0,,,0,0,0,2024.0,2024.0,,2064,48.26388889,18.45694444,,
162,Krsko 1,Nuclear,Steam Turbine,PP,SI,688.0,,,0,0,0,1983.0,1983.0,,2051,45.93841389,15.51546944,,
163,Almaraz 1,Nuclear,Steam Turbine,PP,ES,1011.0,,,0,0,0,1983.0,1983.0,,2027,39.8084,-5.6695,,
164,Almaraz 2,Nuclear,Steam Turbine,PP,ES,1006.0,,,0,0,0,1984.0,1984.0,,2028,39.8084,-5.6695,,
165,Asco 1,Nuclear,Steam Turbine,PP,ES,995.0,,,0,0,0,1984.0,1984.0,,2029,41.2,0.569444444,,
166,Asco 2,Nuclear,Steam Turbine,PP,ES,997.0,,,0,0,0,1986.0,1986.0,,2030,41.2,0.569444444,,
167,Cofrentes 1,Nuclear,Steam Turbine,PP,ES,1064.0,,,0,0,0,1985.0,1985.0,,2033,41.2,0.569444444,,
168,Jose Cabrera 1,Nuclear,Steam Turbine,PP,ES,141.0,,,0,0,0,1969.0,1969.0,,2006,41.2,0.569444444,,
169,Santa Maria de Garona 1,Nuclear,Steam Turbine,PP,ES,446.0,,,0,0,0,1971.0,1971.0,,2013,41.2,0.569444444,,
170,Trillo 1,Nuclear,Steam Turbine,PP,ES,1003.0,,,0,0,0,1988.0,1988.0,,2035,41.2,0.569444444,,
171,Vandellos 1,Nuclear,Steam Turbine,PP,ES,480.0,,,0,0,0,1972.0,1972.0,,1990,40.95138889,0.866666667,,
172,Vandellos 2,Nuclear,Steam Turbine,PP,ES,1045.0,,,0,0,0,1988.0,1988.0,,2034,40.95138889,0.866666667,,
173,Dukovany 1,Nuclear,Steam Turbine,PP,CZ,468.0,,,0,0,0,1985.0,1985.0,,2051,49.08509444,16.14899167,,
174,Dukovany 2,Nuclear,Steam Turbine,PP,CZ,471.0,,,0,0,0,1986.0,1986.0,,2051,49.08509444,16.14899167,,
175,Dukovany 3,Nuclear,Steam Turbine,PP,CZ,468.0,,,0,0,0,1986.0,1986.0,,2051,49.08509444,16.14899167,,
176,Dukovany 4,Nuclear,Steam Turbine,PP,CZ,471.0,,,0,0,0,1987.0,1987.0,,2051,49.08509444,16.14899167,,
177,Temelin 1,Nuclear,Steam Turbine,PP,CZ,1026.0,,,0,0,0,2002.0,2002.0,,2051,49.18194444,14.38138889,,
178,Temelin 2,Nuclear,Steam Turbine,PP,CZ,1026.0,,,0,0,0,2003.0,2003.0,,2051,49.18194444,14.38138889,,
179,Temelin 3,Nuclear,Steam Turbine,PP,CZ,2400.0,,,0,0,0,2050.0,2050.0,,2090,49.18194444,14.38138889,,
180,Paks 1,Nuclear,Steam Turbine,PP,HU,479.0,,,0,0,0,1983.0,1983.0,,2051,46.5725,18.85416667,,
181,Paks 2,Nuclear,Steam Turbine,PP,HU,477.0,,,0,0,0,1984.0,1984.0,,2051,46.5725,18.85416667,,
182,Paks 3,Nuclear,Steam Turbine,PP,HU,473.0,,,0,0,0,1986.0,1986.0,,2051,46.5725,18.85416667,,
183,Paks 4,Nuclear,Steam Turbine,PP,HU,473.0,,,0,0,0,1987.0,1987.0,,2051,46.5725,18.85416667,,
184,Berkeley 1,Nuclear,Steam Turbine,PP,GB,138.0,,,0,0,0,1962.0,1962.0,,1989,,,,
185,Berkeley 2,Nuclear,Steam Turbine,PP,GB,138.0,,,0,0,0,1962.0,1962.0,,1988,,,,
186,Bradwell 1,Nuclear,Steam Turbine,PP,GB,123.0,,,0,0,0,1962.0,1962.0,,2002,51.74194444,0.8975,,
187,Bradwell 2,Nuclear,Steam Turbine,PP,GB,123.0,,,0,0,0,1962.0,1962.0,,2002,51.74194444,0.8975,,
188,Calder Hall 1,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1956.0,1956.0,,2003,51.74194444,0.8975,,
189,Calder Hall 2,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1957.0,1957.0,,2003,51.74194444,0.8975,,
190,Calder Hall 3,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1958.0,1958.0,,2003,51.74194444,0.8975,,
191,Calder Hall 4,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1959.0,1959.0,,2003,51.74194444,0.8975,,
192,Chapelcross 1,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1959.0,1959.0,,2004,51.74194444,0.8975,,
193,Chapelcross 2,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1959.0,1959.0,,2004,51.74194444,0.8975,,
194,Chapelcross 3,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1959.0,1959.0,,2004,51.74194444,0.8975,,
195,Chapelcross 4,Nuclear,Steam Turbine,PP,GB,50.0,,,0,0,0,1960.0,1960.0,,2004,51.74194444,0.8975,,
196,Dounreay  DFR,Nuclear,Steam Turbine,PP,GB,14.0,,,0,0,0,1962.0,1962.0,,1977,51.74194444,0.8975,,
