,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
67,Cattenom 4,Nuclear,Steam Turbine,PP,FR,1300,,,0,0,0,1991,1991,,2051,49.41555556,6.216666667,,
68,Chinon A1,Nuclear,Steam Turbine,PP,FR,70,,,0,0,0,1963,1963,,1973,47.23055556,0.170555556,,
69,Chinon A2,Nuclear,Steam Turbine,PP,FR,180,,,0,0,0,1965,1965,,1985,47.23055556,0.170555556,,
70,Chinon A3,Nuclear,Steam Turbine,PP,FR,360,,,0,0,0,1966,1966,,1990,47.23055556,0.170555556,,
71,Chinon B1,Nuclear,Steam Turbine,PP,FR,905,,,0,0,0,1982,1982,,2042,47.23055556,0.170555556,,
72,Chinon B2,Nuclear,Steam Turbine,PP,FR,905,,,0,0,0,1983,1983,,2043,47.23055556,0.170555556,,
73,Chinon B3,Nuclear,Steam Turbine,PP,FR,905,,,0,0,0,1986,1986,,2046,47.23055556,0.170555556,,
74,Chinon B4,Nuclear,Steam Turbine,PP,FR,905,,,0,0,0,1987,1987,,2047,47.23055556,0.170555556,,
75,Chooz  A,Nuclear,Steam Turbine,PP,FR,305,,,0,0,0,1967,1967,,1991,50.09,4.789444444,,
76,Chooz  B1,Nuclear,Steam Turbine,PP,FR,1.5,,,0,0,0,1996,1996,,2056,50.09,4.789444444,,
77,Chooz  B2,Nuclear,Steam Turbine,PP,FR,1.5,,,0,0,0,1997,1997,,2057,50.09,4.789444444,,
78,Civaux 1,Nuclear,Steam Turbine,PP,FR,1495,,,0,0,0,1997,1997,,2057,46.45611111,0.654166667,,
79,Civaux 2,Nuclear,Steam Turbine,PP,FR,1495,,,0,0,0,1999,1999,,2059,46.45611111,0.654166667,,
80,Cruas 1,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1983,1983,,2043,44.63388889,4.753888889,,
81,Cruas 2,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1984,1984,,2044,44.63388889,4.753888889,,
82,Cruas 3,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1984,1984,,2044,44.63388889,4.753888889,,
83,Cruas 4,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1984,1984,,2044,44.63388889,4.753888889,,
84,Dampierre 1,Nuclear,Steam Turbine,PP,FR,890,,,0,0,0,1980,1980,,2040,47.73361111,2.5175,,
85,Dampierre 2,Nuclear,Steam Turbine,PP,FR,890,,,0,0,0,1980,1980,,2040,47.73361111,2.5175,,
86,Dampierre 3,Nuclear,Steam Turbine,PP,FR,890,,,0,0,0,1981,1981,,2041,47.73361111,2.5175,,
87,Dampierre 4,Nuclear,Steam Turbine,PP,FR,890,,,0,0,0,1981,1981,,2041,47.73361111,2.5175,,
88,Fessenheim 1,Nuclear,Steam Turbine,PP,FR,880,,,0,0,0,1977,1977,,2020,47.90361111,7.5625,,
89,Fessenheim 2,Nuclear,Steam Turbine,PP,FR,880,,,0,0,0,1977,1977,,2020,47.90361111,7.5625,,
90,Flamanville 1,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1985,1985,,2045,47.90361111,7.5625,,
91,Flamanville 2,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1986,1986,,2046,47.90361111,7.5625,,
92,Flamanville 3,Nuclear,Steam Turbine,PP,FR,1.6,,,0,0,0,2024,,,2084,47.90361111,7.5625,,
93,Golfech 1,Nuclear,Steam Turbine,PP,FR,1310,,,0,0,0,1990,1990,,2050,44.11111111,0.840277778,,
94,Golfech 2,Nuclear,Steam Turbine,PP,FR,1310,,,0,0,0,1993,1993,,2053,44.11111111,0.840277778,,
95,Gravelines 1,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1980,1980,,2040,51.01361111,2.136111111,,
96,Gravelines 2,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1980,1980,,2040,51.01361111,2.136111111,,
97,Gravelines 3,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1980,1980,,2040,51.01361111,2.136111111,,
98,Gravelines 4,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1981,1981,,2041,51.01361111,2.136111111,,
99,Gravelines 5,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1984,1984,,2044,51.01361111,2.136111111,,
100,Gravelines 6,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1985,1985,,2045,51.01361111,2.136111111,,
101,Marcoule G-2,Nuclear,Steam Turbine,PP,FR,38,,,0,0,0,1959,1959,,1980,44.15,4.716666667,,
102,Marcoule G-3,Nuclear,Steam Turbine,PP,FR,0,,,0,0,0,1960,1960,,1984,44.15,4.716666667,,
103,Nogent 1,Nuclear,Steam Turbine,PP,FR,1310,,,0,0,0,1987,1987,,2047,48.51611111,3.517777778,,
104,Nogent 2,Nuclear,Steam Turbine,PP,FR,1310,,,0,0,0,1988,1988,,2048,48.51611111,3.517777778,,
105,Paluel 1,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1984,1984,,2044,49.85805556,0.635555556,,
106,Paluel 2,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1984,1984,,2044,49.85805556,0.635555556,,
107,Paluel 3,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1985,1985,,2045,49.85805556,0.635555556,,
108,Paluel 4,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1986,1986,,2046,49.85805556,0.635555556,,
109,Penly 1,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1990,1990,,2050,49.97666667,1.211944444,,
110,Penly 2,Nuclear,Steam Turbine,PP,FR,1330,,,0,0,0,1992,1992,,2052,49.97666667,1.211944444,,
111,Phénix  –,Nuclear,Steam Turbine,PP,FR,130,,,0,0,0,1973,1973,,2009,44.14333333,4.711666667,,
112,Saint-Alban 1,Nuclear,Steam Turbine,PP,FR,1335,,,0,0,0,1985,1985,,2045,45.40472222,4.755833333,,
113,Saint-Alban 2,Nuclear,Steam Turbine,PP,FR,1335,,,0,0,0,1986,1986,,2046,45.40472222,4.755833333,,
114,Saint-Laurent A1,Nuclear,Steam Turbine,PP,FR,480,,,0,0,0,1969,1969,,1990,47.72055556,1.578611111,,
115,Saint-Laurent A2,Nuclear,Steam Turbine,PP,FR,515,,,0,0,0,1971,1971,,1992,47.72055556,1.578611111,,
116,Saint-Laurent B1,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1981,1981,,2041,47.72055556,1.578611111,,
117,Saint-Laurent B2,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1981,1981,,2041,47.72055556,1.578611111,,
118,Creys-Malville –,Nuclear,Steam Turbine,PP,FR,1.2,,,0,0,0,1986,1986,,1998,45.75833333,5.472222222,,
119,Tricastin 1,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1980,1980,,2040,44.32972222,4.732222222,,
120,Tricastin 2,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1980,1980,,2040,44.32972222,4.732222222,,
121,Tricastin 3,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1981,1981,,2041,44.32972222,4.732222222,,
122,Tricastin 4,Nuclear,Steam Turbine,PP,FR,915,,,0,0,0,1981,1981,,2041,44.32972222,4.732222222,,
123,Caorso 1,Nuclear,Steam Turbine,PP,IE,860,,,0,0,0,1981,1981,,1986,45.07222222,9.872222222,,
124,Enrico Fermi 1,Nuclear,Steam Turbine,PP,IE,260,,,0,0,0,1965,1965,,1987,45.18409374,8.277554512,,
125,Garigliano 1,Nuclear,Steam Turbine,PP,IE,150,,,0,0,0,1964,1964,,1982,41.25833333,13.83472222,,
126,Latina 1,Nuclear,Steam Turbine,PP,IE,153,,,0,0,0,1964,1964,,1986,41.425384,12.807001,,
127,Ignalina 1,Nuclear,Steam Turbine,PP,LT,1185,,,0,0,0,1985,1985,,2004,55.60434185,26.56266689,,
128,Ignalina 2,Nuclear,Steam Turbine,PP,LT,1185,,,0,0,0,1987,1987,,2009,55.60434185,26.56266689,,
129,Borssele 1,Nuclear,Steam Turbine,PP,NL,482,,,0,0,0,1973,1973,,2034,51.43083333,3.718333333,,
130,Dodewaard 1,Nuclear,Steam Turbine,PP,NL,55,,,0,0,0,1969,1969,,1997,51.89956944,5.686327778,,
131,Cernavodă 1,Nuclear,Steam Turbine,PP,RO,650,,,0,0,0,1996,1996,,2051,44.32234722,28.05728056,,
132,Cernavodă 2,Nuclear,Steam Turbine,PP,RO,650,,,0,0,0,2007,2007,,2051,44.32234722,28.05728056,,
133,Ågesta 1,Nuclear,Steam Turbine,PP,SE,10,,,0,0,0,1964,1964,,1974,59.20611111,18.0825,,
134,Barsebäck 1,Nuclear,Steam Turbine,PP,SE,600,,,0,0,0,1975,1975,,1999,55.74444444,12.92083333,,
135,Barsebäck 2,Nuclear,Steam Turbine,PP,SE,600,,,0,0,0,1977,1977,,2005,55.74444444,12.92083333,,
136,Forsmark 1,Nuclear,Steam Turbine,PP,SE,986,,,0,0,0,1980,1980,,2051,60.40333333,18.16666667,,
137,Forsmark 2,Nuclear,Steam Turbine,PP,SE,1116,,,0,0,0,1981,1981,,2051,60.40333333,18.16666667,,
138,Forsmark 3,Nuclear,Steam Turbine,PP,SE,1159,,,0,0,0,1985,1985,,2051,60.40333333,18.16666667,,
139,Oskarshamn 1,Nuclear,Steam Turbine,PP,SE,473,,,0,0,0,1972,1972,,2017,57.41555556,16.67111111,,
140,Oskarshamn 2,Nuclear,Steam Turbine,PP,SE,638,,,0,0,0,1975,1975,,2016,57.41555556,16.67111111,,
141,Oskarshamn 3,Nuclear,Steam Turbine,PP,SE,1400,,,0,0,0,1985,1985,,2051,57.41555556,16.67111111,,
142,Ringhals 1,Nuclear,Steam Turbine,PP,SE,881,,,0,0,0,1976,1976,,2020,57.26111111,12.10833333,,
143,Ringhals 2,Nuclear,Steam Turbine,PP,SE,907,,,0,0,0,1975,1975,,2019,57.26111111,12.10833333,,
144,Ringhals 3,Nuclear,Steam Turbine,PP,SE,1062,,,0,0,0,1981,1981,,2051,57.26111111,12.10833333,,
145,Ringhals 4,Nuclear,Steam Turbine,PP,SE,1102,,,0,0,0,1983,1983,,2051,57.26111111,12.10833333,,
146,Beznau 1,Nuclear,Steam Turbine,PP,CH,365,,,0,0,0,1969,1969,,2051,47.55222222,8.227777778,,
147,Beznau 2,Nuclear,Steam Turbine,PP,CH,365,,,0,0,0,1972,1972,,2051,47.55222222,8.227777778,,
148,Gösgen 1,Nuclear,Steam Turbine,PP,CH,1010,,,0,0,0,1979,1979,,2051,47.36583333,7.968888889,,
149,Leibstadt 1,Nuclear,Steam Turbine,PP,CH,1220,,,0,0,0,1984,1984,,2051,47.60135,8.18375,,
150,Mühleberg 1,Nuclear,Steam Turbine,PP,CH,373,,,0,0,0,1972,1972,,2019,46.97083333,7.270277778,,
151,Bohunice A1,Nuclear,Steam Turbine,PP,SK,93,,,0,0,0,1972,1972,,1977,48.49444444,17.68055556,,
152,Bohunice 1,Nuclear,Steam Turbine,PP,SK,408,,,0,0,0,1980,1980,,2006,48.49444444,17.68055556,,
153,Bohunice 2,Nuclear,Steam Turbine,PP,SK,408,,,0,0,0,1981,1981,,2008,48.49444444,17.68055556,,
154,Bohunice 3,Nuclear,Steam Turbine,PP,SK,471,,,0,0,0,1985,1985,,2051,48.49444444,17.68055556,,
155,Bohunice 4,Nuclear,Steam Turbine,PP,SK,471,,,0,0,0,1985,1985,,2051,48.49444444,17.68055556,,
156,Mochovce 1,Nuclear,Steam Turbine,PP,SK,436,,,0,0,0,1998,1998,,2051,48.26388889,18.45694444,,
157,Mochovce 2,Nuclear,Steam Turbine,PP,SK,436,,,0,0,0,2000,2000,,2051,48.26388889,18.45694444,,
158,Mochovce 3,Nuclear,Steam Turbine,PP,SK,440,,,0,0,0,2023,2023,,2051,48.26388889,18.45694444,,
159,Mochovce 4,Nuclear,Steam Turbine,PP,SK,440,,,0,0,0,2024,2024,,2064,48.26388889,18.45694444,,
160,Krško –,Nuclear,Steam Turbine,PP,SI,688,,,0,0,0,1983,1983,,2051,45.93841389,15.51546944,,
161,Almaraz 1,Nuclear,Steam Turbine,PP,ES,1011,,,0,0,0,1983,1983,,2027,39.8084,-5.6695,,
162,Almaraz 2,Nuclear,Steam Turbine,PP,ES,1006,,,0,0,0,1984,1984,,2028,39.8084,-5.6695,,
163,Ascó 1,Nuclear,Steam Turbine,PP,ES,995,,,0,0,0,1984,1984,,2029,41.2,0.569444444,,
164,Ascó 2,Nuclear,Steam Turbine,PP,ES,997,,,0,0,0,1986,1986,,2030,41.2,0.569444444,,
165,Cofrentes 1,Nuclear,Steam Turbine,PP,ES,1064,,,0,0,0,1985,1985,,2033,41.2,0.569444444,,
166,José Cabrera 1,Nuclear,Steam Turbine,PP,ES,141,,,0,0,0,1969,1969,,2006,41.2,0.569444444,,
167,Santa María de Garoña 1,Nuclear,Steam Turbine,PP,ES,446,,,0,0,0,1971,1971,,2013,41.2,0.569444444,,
168,Trillo 1,Nuclear,Steam Turbine,PP,ES,1003,,,0,0,0,1988,1988,,2035,41.2,0.569444444,,
169,Vandellòs 1,Nuclear,Steam Turbine,PP,ES,480,,,0,0,0,1972,1972,,1990,40.95138889,0.866666667,,
170,Vandellòs 2,Nuclear,Steam Turbine,PP,ES,1045,,,0,0,0,1988,1988,,2034,40.95138889,0.866666667,,
171,Dukovany 1,Nuclear,Steam Turbine,PP,CZ,468,,,0,0,0,1985,1985,,2051,49.08509444,16.14899167,,
172,Dukovany 2,Nuclear,Steam Turbine,PP,CZ,471,,,0,0,0,1986,1986,,2051,49.08509444,16.14899167,,
173,Dukovany 3,Nuclear,Steam Turbine,PP,CZ,468,,,0,0,0,1986,1986,,2051,49.08509444,16.14899167,,
174,Dukovany 4,Nuclear,Steam Turbine,PP,CZ,471,,,0,0,0,1987,1987,,2051,49.08509444,16.14899167,,
175,Temelín 1,Nuclear,Steam Turbine,PP,CZ,1026,,,0,0,0,2002,2002,,2051,49.18194444,14.38138889,,
176,Temelín 2,Nuclear,Steam Turbine,PP,CZ,1026,,,0,0,0,2003,2003,,2051,49.18194444,14.38138889,,
177,Temelín 3 und 4,Nuclear,Steam Turbine,PP,CZ,2400,,,0,0,0,2050,2050,,2090,49.18194444,14.38138889,,
178,Paks 1,Nuclear,Steam Turbine,PP,HU,479,,,0,0,0,1983,1983,,2051,46.5725,18.85416667,,
179,Paks 2,Nuclear,Steam Turbine,PP,HU,477,,,0,0,0,1984,1984,,2051,46.5725,18.85416667,,
180,Paks 3,Nuclear,Steam Turbine,PP,HU,473,,,0,0,0,1986,1986,,2051,46.5725,18.85416667,,
181,Paks 4,Nuclear,Steam Turbine,PP,HU,473,,,0,0,0,1987,1987,,2051,46.5725,18.85416667,,
182,Berkeley 1,Nuclear,Steam Turbine,PP,GB,138,,,0,0,0,1962,1962,,1989,,,,
183,Berkeley 2,Nuclear,Steam Turbine,PP,GB,138,,,0,0,0,1962,1962,,1988,,,,
184,Bradwell 1,Nuclear,Steam Turbine,PP,GB,123,,,0,0,0,1962,1962,,2002,51.74194444,0.8975,,
185,Bradwell 2,Nuclear,Steam Turbine,PP,GB,123,,,0,0,0,1962,1962,,2002,51.74194444,0.8975,,
186,Calder Hall 1,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1956,1956,,2003,51.74194444,0.8975,,
187,Calder Hall 2,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1957,1957,,2003,51.74194444,0.8975,,
188,Calder Hall 3,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1958,1958,,2003,51.74194444,0.8975,,
189,Calder Hall 4,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2003,51.74194444,0.8975,,
190,Chapelcross 1,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2004,51.74194444,0.8975,,
191,Chapelcross 2,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2004,51.74194444,0.8975,,
192,Chapelcross 3,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1959,1959,,2004,51.74194444,0.8975,,
193,Chapelcross 4,Nuclear,Steam Turbine,PP,GB,50,,,0,0,0,1960,1960,,2004,51.74194444,0.8975,,
194,Dounreay  DFR,Nuclear,Steam Turbine,PP,GB,14,,,0,0,0,1962,1962,,1977,51.74194444,0.8975,,
195,Dounreay  PFR,Nuclear,Steam Turbine,PP,GB,234,,,0,0,0,1975,1975,,1994,51.74194444,0.8975,,
196,Dungeness A1,Nuclear,Steam Turbine,PP,GB,225,,,0,0,0,1965,1965,,2006,50.91388889,0.963888889,,
197,Dungeness A2,Nuclear,Steam Turbine,PP,GB,225,,,0,0,0,1965,1965,,2006,50.91388889,0.963888889,,
198,Dungeness B1,Nuclear,Steam Turbine,PP,GB,545,,,0,0,0,1985,1985,,2021,50.91388889,0.963888889,,
199,Dungeness B2,Nuclear,Steam Turbine,PP,GB,545,,,0,0,0,1983,1983,,2021,50.91388889,0.963888889,,
200,Hartlepool A1,Nuclear,Steam Turbine,PP,GB,595,,,0,0,0,1983,1983,,2024,50.91388889,0.963888889,,
201,Hartlepool A2,Nuclear,Steam Turbine,PP,GB,595,,,0,0,0,1984,1984,,2024,50.91388889,0.963888889,,
202,Heysham A1,Nuclear,Steam Turbine,PP,GB,585,,,0,0,0,1983,1983,,2024,50.91388889,0.963888889,,
203,Heysham A2,Nuclear,Steam Turbine,PP,GB,575,,,0,0,0,1984,1984,,2024,50.91388889,0.963888889,,
204,Heysham B1,Nuclear,Steam Turbine,PP,GB,615,,,0,0,0,1988,1988,,2030,50.91388889,0.963888889,,
205,Heysham B2,Nuclear,Steam Turbine,PP,GB,615,,,0,0,0,1988,1988,,2030,50.91388889,0.963888889,,
206,Hinkley Point A1,Nuclear,Steam Turbine,PP,GB,235,,,0,0,0,1965,1965,,2000,50.91388889,0.963888889,,
207,Hinkley Point A2,Nuclear,Steam Turbine,PP,GB,235,,,0,0,0,1965,1965,,2000,50.91388889,0.963888889,,
208,Hinkley Point B1,Nuclear,Steam Turbine,PP,GB,430,,,0,0,0,1976,1976,,2022,50.91388889,0.963888889,,
209,Hinkley Point B2,Nuclear,Steam Turbine,PP,GB,430,,,0,0,0,1976,1976,,2022,50.91388889,0.963888889,,
210,Hinkley Point C1,Nuclear,Steam Turbine,PP,GB,1630,,,0,0,0,2029,2029,,2069,50.91388889,0.963888889,,
211,Hinkley Point C2,Nuclear,Steam Turbine,PP,GB,1630,,,0,0,0,2030,2030,,2070,50.91388889,0.963888889,,
212,Hunterston A1,Nuclear,Steam Turbine,PP,GB,150,,,0,0,0,1964,1964,,1990,50.91388889,0.963888889,,
